quantity,core,gap_mm,T_C,Bmax_T,b_lin,b_lin_se,ln_a_lin,ln_a_lin_se,r2_lin,a2,a2_se,a2_ci95,a1,a1_se,a1_ci95,a0,a0_se,a0_ci95,p_a2,r2_quad,dAIC,dAICc,leverage_50Hz,rms_lin_pct,max_lin_pct,rms_quad_pct,max_quad_pct
S,full,0.0,100,0.2,-0.69782,0.00919275,10.9972,0.0736697,0.999133,0.0101919,0.00302147,0.00838894,-0.841263,0.0428465,0.118961,11.4549,0.142062,0.394428,0.02796,0.999774,7.427,-4.573,0.9674,4.122,6.625,2.141,4.346
S,full,0.0,120,0.2,-0.696187,0.00497185,10.8147,0.0398439,0.999745,0.00373494,0.00260369,0.00722899,-0.748753,0.0369221,0.102512,10.9824,0.122419,0.33989,0.2247,0.999832,0.905,-11.095,0.9674,2.244,3.207,1.843,3.677
S,gap017,0.17,20,0.2,-0.566301,0.0371001,10.6931,0.297316,0.978991,0.0461983,0.00617201,0.0171362,-1.21651,0.0875234,0.243004,12.7681,0.290193,0.805706,0.001704,0.998600,16.960,4.960,0.9674,17.376,27.081,4.381,7.556
S,gap017,0.17,40,0.2,-0.5374,0.0320498,10.3927,0.256844,0.982527,0.0394331,0.00615463,0.017088,-1.09239,0.087277,0.24232,12.1638,0.289376,0.803437,0.003048,0.998449,14.950,2.950,0.9674,14.797,21.885,4.344,6.701
S,gap017,0.17,60,0.2,-0.522426,0.026492,10.1797,0.212304,0.987306,0.030535,0.00764146,0.0212161,-0.952181,0.108361,0.300859,11.5512,0.359283,0.997531,0.01618,0.997457,9.255,-2.745,0.9674,12.382,22.151,5.417,9.400
S,gap017,0.17,80,0.2,-0.508458,0.0262269,10.0481,0.21018,0.986872,0.0290515,0.00864213,0.0239944,-0.917333,0.122551,0.340257,11.353,0.406332,1.12816,0.02826,0.996568,7.391,-4.609,0.9674,12.467,24.150,6.180,11.787
S,gap017,0.17,100,0.2,-0.529412,0.0279821,10.2044,0.224246,0.986224,0.0345913,0.00510509,0.014174,-1.01626,0.0723937,0.200997,11.7581,0.240029,0.666428,0.002476,0.998896,15.668,3.668,0.9674,13.009,19.670,3.630,5.620
S,gap017,0.17,120,0.2,-0.518339,0.0283356,10.0976,0.227078,0.985278,0.0356197,0.0040346,0.0112019,-1.01966,0.0572135,0.15885,11.6975,0.189698,0.526685,0.0009085,0.999281,19.138,7.138,0.9674,13.171,19.587,2.859,4.927
S,gap047,0.47,20,0.1,-0.410408,0.0987619,10.2826,0.791468,0.775466,0.127139,0.00315929,0.00877159,-2.19979,0.0448009,0.124387,15.9931,0.148542,0.412419,2.278e-06,0.999447,40.042,28.042,0.9674,49.379,93.859,2.214,3.719
S,gap047,0.47,40,0.1,-0.397059,0.0983943,10.0941,0.788522,0.765085,0.126684,0.0029627,0.00822577,-2.18003,0.0420132,0.116647,15.7841,0.139299,0.386756,1.788e-06,0.999487,40.890,28.890,0.9674,49.348,93.558,2.073,3.506
S,gap047,0.47,60,0.1,-0.41543,0.111774,10.198,0.895742,0.734239,0.14365,0.00547474,0.0152003,-2.43719,0.0776357,0.215551,16.65,0.257409,0.714683,1.254e-05,0.998465,34.078,22.078,0.9674,57.353,112.744,3.850,6.144
S,gap047,0.47,80,0.1,-0.355938,0.095054,9.61474,0.761753,0.737146,0.122133,0.0048487,0.0134621,-2.07486,0.068758,0.190903,15.1003,0.227974,0.632958,1.475e-05,0.998353,33.509,21.509,0.9674,47.532,89.578,3.371,6.096
S,gap047,0.47,100,0.1,-0.307273,0.0805728,9.14279,0.645703,0.744162,0.103491,0.00432303,0.0120027,-1.76383,0.0613037,0.170206,13.7911,0.203259,0.564337,1.806e-05,0.998227,32.802,20.802,0.9674,39.606,70.705,3.021,5.396
S,gap047,0.47,120,0.1,-0.372044,0.104654,9.67314,0.838685,0.716521,0.133807,0.00853109,0.0236861,-2.25527,0.120977,0.335886,15.6831,0.401112,1.11366,9.651e-05,0.995464,26.946,14.946,0.9674,53.219,104.279,5.924,9.501
